"","sampleID","group","condition","hepatotoxic","STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN","PEREZ_TP53_TARGETS","GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN","WP_EGFEGFR_SIGNALING_PATHWAY","REACTOME_RHO_GTPASE_CYCLE","WP_FOCAL_ADHESION","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13","STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP","MARTENS_TRETINOIN_RESPONSE_DN","REACTOME_CDC42_GTPASE_CYCLE","KEGG_FOCAL_ADHESION","WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING_PATHWAY","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX","REACTOME_MITOCHONDRIAL_TRANSLATION","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","KIM_WT1_TARGETS_12HR_UP","REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21","KEGG_PATHWAYS_IN_CANCER","REACTOME_METABOLISM_OF_POLYAMINES","GRESHOCK_CANCER_COPY_NUMBER_UP","WP_HIPPO_SIGNALING_REGULATION_PATHWAYS","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES","WONG_MITOCHONDRIA_GENE_MODULE","REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE","STARK_HYPPOCAMPUS_22Q11_DELETION_UP","CERVERA_SDHB_TARGETS_1_UP","SERVITJA_LIVER_HNF1A_TARGETS_DN","SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP","WANG_LSD1_TARGETS_UP","MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3","RODWELL_AGING_KIDNEY_NO_BLOOD_UP","CHEOK_RESPONSE_TO_HD_MTX_UP","SMID_BREAST_CANCER_LUMINAL_B_DN","OSADA_ASCL1_TARGETS_DN","UEDA_PERIFERAL_CLOCK","WP_ZINC_HOMEOSTASIS","LI_CISPLATIN_RESISTANCE_DN","HELLER_SILENCED_BY_METHYLATION_UP","NABA_ECM_AFFILIATED","DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN","WALLACE_PROSTATE_CANCER_DN","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_DN","SEMBA_FHIT_TARGETS_DN","SERVITJA_ISLET_HNF1A_TARGETS_UP","LIEN_BREAST_CARCINOMA_METAPLASTIC","SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5","VERRECCHIA_RESPONSE_TO_TGFB1_C1","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP","YAMASHITA_METHYLATED_IN_PROSTATE_CANCER","NADLER_OBESITY_UP","BROWN_MYELOID_CELL_DEVELOPMENT_UP","GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN","REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS","REACTOME_NEUTROPHIL_DEGRANULATION","LEI_MYB_TARGETS","WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN","MARTINEZ_RB1_AND_TP53_TARGETS_UP","SANSOM_APC_TARGETS_DN","REACTOME_SIGNALING_BY_INTERLEUKINS","LENAOUR_DENDRITIC_CELL_MATURATION_UP","FERRANDO_TAL1_NEIGHBORS","MARSON_FOXP3_TARGETS_UP","LENAOUR_DENDRITIC_CELL_MATURATION_DN","REN_ALVEOLAR_RHABDOMYOSARCOMA_DN","MA_MYELOID_DIFFERENTIATION_UP","REACTOME_INNATE_IMMUNE_SYSTEM","DEMAGALHAES_AGING_UP","RUTELLA_RESPONSE_TO_HGF_UP","REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION","GREENBAUM_E2A_TARGETS_DN","QI_PLASMACYTOMA_UP","HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","LUI_THYROID_CANCER_CLUSTER_4","JIANG_AGING_HYPOTHALAMUS_DN","WAESCH_ANAPHASE_PROMOTING_COMPLEX","WP_CLASSICAL_PATHWAY_OF_STEROIDOGENESIS_WITH_GLUCOCORTICOID_AND_MINERALOCORTICOID_METABOLISM","BIOCARTA_ACETAMINOPHEN_PATHWAY","REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE","WP_FARNESOID_X_RECEPTOR_PATHWAY","REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION","WP_CATALYTIC_CYCLE_OF_MAMMALIAN_FLAVINCONTAINING_MONOOXYGENASES_FMOS","REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_DN","REACTOME_INTESTINAL_ABSORPTION","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION","REACTOME_DISEASES_OF_METABOLISM","WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_36HR","KOHOUTEK_CCNT1_TARGETS","REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING","WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY","WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_36HR","ELVIDGE_HIF1A_TARGETS_DN","NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON","REACTOME_DIGESTION_AND_ABSORPTION","LOPEZ_MESOTHELIOMA_SURVIVAL_UP","GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN","MODY_HIPPOCAMPUS_POSTNATAL","CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP"
"1","X1_o_.bam.txt","Group1","normal","healthy",0.359857,-0.2216345,-0.1848412,-0.2990662,-0.2349349,-0.3218271,0.4862714,-0.3168766,0.2452945,-0.3578732,-0.3415862,-0.2661951,0.4299507,0.4636845,0.4567345,-0.3865092,0.3960077,-0.2682311,0.3595001,-0.1617291,-0.2971508,-0.2271366,0.4055128,0.3847577,-0.4532731,-0.08683061,0.02907749,-0.05488405,0.0453533,-0.1648941,-0.08734176,0.05803785,0.4057501,0.05286129,0.1912371,-0.09494892,-0.2965334,0.2398021,0.1385032,-0.00501784,0.009175609,0.5510591,0.1708974,0.2041237,0.05205444,0.1045307,0.2763772,0.1026876,0.2506318,0.2353223,-0.2862278,0.03861142,-0.1248409,0.01696996,0.0111386,-0.1679428,-0.5519649,-0.006578741,0.0259451,-0.04408992,-0.09188284,-0.04054777,-0.1910935,-0.009345558,-0.1573781,-0.1729387,0.0356606,0.100228,0.02408952,-0.3407261,-0.1036833,0.01082422,0.02426841,-0.15116,-0.5014406,-0.2244358,0.2279343,-0.3255291,-0.1768028,-0.2381615,0.01248034,-0.4049952,-0.5921824,-0.33212,-0.5226846,-0.0175279,-0.1324181,-0.0528711,0.1021643,-0.1187975,-0.641645,0.3032896,0.0391837,-0.2734316,-0.03392718,-0.01753225,-0.248454,-0.173353,-0.2070403,-0.2609437
"2","X2_o_.bam.txt","Group1","normal","healthy",-0.1596095,0.06928613,0.01158436,0.1032047,-0.03142414,0.002317923,-0.2772871,-0.02033046,-0.1072114,0.05160882,-0.02403595,0.03875437,-0.4592882,-0.2310068,-0.4557321,0.04797236,-0.4459211,-0.03217587,-0.439338,0.05235187,0.235456,-0.02683636,-0.2939869,-0.2749445,0.1052067,-0.2960207,0.2837017,-0.3606888,-0.3645482,-0.3658454,-0.2329768,-0.1799121,-0.2429067,-0.1602659,-0.2563019,0.1611097,0.4922022,-0.2075426,-0.1927847,-0.1347971,-0.2213653,-0.191697,0.3249155,-0.6649847,-0.1419667,-0.3513715,-0.1948334,-0.2150945,-0.1037624,-0.1384556,0.2213287,0.07105805,-0.2563727,0.07382845,0.08289635,-0.1054474,0.06534294,0.04523318,0.004251377,-0.05905103,0.1415622,0.1215942,0.02613679,-0.03273787,0.1164855,-0.2797896,0.08193476,0.1879438,-0.1018305,-0.1726179,0.2525577,0.1772699,0.1032165,-0.1564659,-0.1770846,-0.1723163,0.4116237,0.10105,-0.7203524,0.08213337,-0.363586,-0.3410084,-0.914496,-0.5305545,-0.5558317,-0.2031598,-0.1955586,-0.08475044,0.04260871,-0.3297763,-0.4885088,-0.6714239,0.09910286,-0.1855884,-0.1165135,-0.5737728,-0.5170067,-0.1000504,-0.02894801,-0.3843439
"3","X3_o_.bam.txt","Group1","normal","healthy",0.4145914,-0.2959629,-0.2164733,-0.3782407,-0.3304449,-0.3681486,0.5073292,-0.4477865,0.3187436,-0.4541076,-0.3727787,-0.3094247,0.4611877,0.5108016,0.4607005,-0.387154,0.4677461,-0.2717983,0.4344287,-0.2446226,-0.3611448,-0.2987561,0.4917844,0.4431093,-0.5728546,-0.1294066,0.07919614,-0.02643181,-0.06562448,0.04320471,-0.2910591,-0.1192885,0.1503693,-0.1050785,-0.3007202,0.05633812,0.003620843,0.0379888,-0.125011,-0.1097037,-0.01882996,0.1114545,0.1827607,0.03488875,-0.1167491,-0.04809036,-0.01517129,-0.150767,0.04134805,0.005327942,-0.1164838,-0.111592,-0.1279644,-0.2001627,0.05705331,-0.09028731,-0.3086037,0.07544372,-0.06871124,-0.09082496,-0.04231068,-0.291931,-0.1452041,-0.1151418,0.0116294,-0.111757,0.0421238,-0.0304641,0.06538632,-0.1035054,-0.2432523,-0.174575,-0.3686432,0.01151186,-0.5270962,-0.1669029,0.2552524,-0.1841698,0.3890612,-0.3233238,-0.06111781,-0.3936643,-0.1198293,0.04105798,-0.451926,0.1109789,-0.3223306,-0.1827654,0.04713585,0.2249001,-0.3444525,0.265819,0.1656374,-0.2014249,-0.04048866,0.06119749,-0.1723093,-0.257389,-0.1194294,-0.2949145
"4","X4_o_.bam.txt","Group1","normal","healthy",0.4349562,-0.2471058,-0.2091725,-0.393652,-0.3089583,-0.3628119,0.5530311,-0.4296205,0.348613,-0.4167727,-0.3765904,-0.306981,0.4417593,0.6153747,0.5084283,-0.362341,0.4634477,-0.3117281,0.4544218,-0.238021,-0.3347069,-0.252396,0.5329312,0.3775181,-0.4779988,-0.03202576,-0.08044304,-0.1566255,-0.1264093,0.3255728,-0.1706747,0.01495354,0.2182274,-0.1015306,0.0013022,0.05194353,-0.2276811,-0.03502985,-0.08207754,-0.07002064,0.2216209,-0.0489682,0.1362451,0.2887645,-0.001325407,0.0199971,-0.01282792,-0.09446854,0.08352601,0.05066971,-0.1354209,-0.04843836,-0.4571824,-0.2085278,0.04887977,-0.0358048,-0.5025599,-0.0249848,-0.04713437,-0.09611053,-0.1051945,-0.2214983,-0.1608685,-0.1271471,-0.05167202,-0.1513822,0.001155005,-0.07077742,0.03078899,-0.02787267,-0.3820003,-0.1469953,-0.2077887,-0.04767112,-0.4991125,-0.03232446,0.283364,-0.1758182,-0.004791152,-0.2197676,-0.1906276,-0.1691466,0.09622452,0.3752582,-0.4893839,-0.06184374,-0.1969761,-0.05281233,-0.07968279,0.3694254,-0.4651791,0.1621976,0.06523796,-0.1650602,0.01090462,0.1927823,-0.0484814,-0.1493722,0.0757878,-0.2614257
"5","X5_o_.bam.txt","Group1","normal","healthy",0.3421017,-0.2085403,-0.1492029,-0.2827306,-0.2236408,-0.1666308,0.4381325,-0.2170596,0.2170609,-0.3495154,-0.1593315,-0.1763043,0.4579053,0.4219085,0.5157831,-0.30831,0.4997024,-0.1881226,0.4448595,-0.1514989,-0.1834075,-0.1494394,0.3475505,0.3650633,-0.4271468,0.1022284,-0.1266799,0.06686623,0.1909977,0.2261422,0.09872397,0.01063663,0.3061165,0.1403795,0.2261822,0.04446329,-0.4085166,-0.1375714,-0.0548921,-0.005424212,0.05369829,0.4010365,0.05574211,0.2181322,0.1180867,0.2440631,0.2836303,-0.1837071,-0.04282463,0.05812158,-0.2327438,0.02243373,-0.2763107,-0.08926399,0.06344176,-0.09226899,-0.6736825,-0.02047458,-0.01828926,-0.02701425,-0.1921021,-0.1817358,-0.1814152,0.0232717,-0.1125093,0.0504446,0.04238581,-0.1571991,0.02137362,-0.1832484,0.05167353,-0.07061656,-0.2906024,-0.07705235,-0.6033492,-0.2410909,0.05971509,-0.3023159,0.01513448,-0.4798831,0.2842602,-0.3349866,-0.4109083,0.1161883,-0.2236636,-0.1843897,-0.07722055,-0.06790189,0.09060994,0.005864532,-0.6064976,0.3160292,0.004394814,-0.2773386,0.02854034,-0.3453342,-0.1538596,-0.2093493,0.009870859,-0.07735683
"6","X6_o_.bam.txt","Group1","normal","healthy",0.3733999,-0.1452204,-0.1495439,-0.2955221,-0.2268465,-0.1274225,0.4636457,-0.2073687,0.1781968,-0.3211506,-0.1447008,-0.1996245,0.4849526,0.4951646,0.4996547,-0.2736178,0.4637955,-0.1444759,0.4083879,-0.1044709,-0.1924475,-0.1918411,0.4192481,0.3967588,-0.4474408,0.2122486,-0.2173398,0.2720394,0.1206064,0.2088332,0.07257261,0.05775929,0.3756303,0.1883837,0.3550165,-0.1266215,-0.2869974,0.1041165,0.02059463,0.02637743,0.1809878,0.2025306,0.07225975,0.6179828,0.04492496,-0.1008383,0.2923476,0.06443758,0.2845556,0.1896862,-0.1371292,-0.02227463,0.07834366,-0.1492606,-0.01622804,0.007537787,-0.4767022,-0.103916,-0.0008688562,-0.01033146,-0.1618195,-0.07288315,-0.2787697,-0.009332193,-0.1386591,-0.0583415,-0.01646599,0.04237731,0.05042481,-0.1591661,-0.1713888,-0.1190017,-0.3234174,-0.1517665,-0.3979696,-0.1704666,0.05389088,-0.082149,0.0214476,-0.6652677,-0.01162284,-0.2336024,-0.510349,-0.01059328,-0.09205485,-0.3562999,0.1700404,0.03118877,-0.003335038,0.09743333,-0.3236259,0.09883269,-0.01139256,-0.1505438,0.02582138,0.05908333,0.008324214,-0.1617091,0.01128073,0.06993934
"7","X7_o_.bam.txt","Group1","normal","healthy",0.3328483715,-0.1560075673,-0.1379860213,-0.3520774782,-0.3213513472,-0.2352208087,0.357206962,-0.2105821393,0.1386357874,-0.3656854376,-0.2280549744,-0.2076956769,0.3548561929,0.4678363564,0.3172016974,-0.3508996312,0.2427866374,-0.1970428882,0.2747759753,-0.1913553659,-0.2909456296,-0.2267563194,0.3468937341,0.2617083753,-0.5102926375,0.1981116838,-0.2320278394,0.0741440769,0.2867763309,-0.0252803803,0.144633552,-0.1335221734,-0.0065758601,0.0448020927,0.2155246849,-0.2603056888,-0.1468397898,0.1648624413,-0.1259593445,0.1160534604,-0.1271266186,0.3211792921,-0.0937771752,0.5159821857,-0.1103754977,0.0274760886,0.1457944482,0.0787881282,-0.0051115615,0.1149083173,-0.5371413551,-0.1955508621,-0.4843847011,-0.1195217006,-0.1902123127,-0.2011752648,-0.4655465809,-0.1577090192,-0.1598850717,-0.208638005,-0.1834727355,-0.2088282444,-0.3734165221,-0.3403952232,-0.257693941,-0.2961222623,-0.1998849863,-0.3179541809,-0.1352879695,-0.5721735725,-0.3577793095,-0.2862774112,-0.3606625109,-0.1403354984,-0.7008737729,-0.2360336121,0.3712928181,-0.0973253781,-0.4440737091,-0.6520662596,-0.5648051643,-0.4314976296,-0.6357865341,-0.4026058561,-0.3369044583,-0.221165771,-0.4281597148,-0.0199108882,-0.1423517749,-0.3821206329,-0.3237013043,-0.3245283293,-0.2035749733,-0.3650488939,-0.0070610353,0.3482921947,-0.4146108514,-0.1530831777,-0.0879757931,-0.3940506994
"8","X8_o_.bam.txt","Group1","normal","healthy",-0.007125114,-0.03675151,0.001396319,-0.1976409,-0.09975768,-0.1194155,0.1764262,0.01616824,0.01087294,-0.2018014,-0.0738155,-0.1386282,0.02947648,-0.06634473,0.006125471,-0.1174905,-0.06025495,-0.1237934,-0.09785945,-0.0508222,-0.1233388,-0.09175465,-0.1306086,-0.1243425,-0.1975625,0.2511664,-0.3597935,0.3941754,0.2458634,0.2257549,0.3884434,0.1933012,0.337858,0.2034593,0.3663796,-0.306184,-0.1733008,0.3170864,0.1519246,0.1806376,0.4059396,0.4062194,-0.3643405,0.43414,0.3353805,0.5566222,0.2823656,0.4039855,0.3989394,0.1907851,-0.4779049,-0.2329934,-0.6545748,-0.2690484,-0.2663753,-0.2254232,-0.348291,-0.1362948,-0.1401694,-0.08862015,-0.1175596,-0.542863,-0.1230549,-0.2058207,-0.1507167,-0.3212047,-0.2079489,-0.2509357,-0.1388414,-0.3945014,0.07845151,-0.1936683,-0.2904981,-0.2711844,-0.6580683,-0.1991523,-0.3993242,-0.1315856,-0.06598074,0.2717587,0.152811,0.1272501,-0.618744,0.01100337,-0.01495235,-0.6347793,-0.02566957,0.0619509,-0.2698225,-0.06319582,-0.1777597,-0.03311207,-0.04093137,-0.01398367,-0.04076872,-0.1861198,0.5800294,0.06303565,0.02566188,0.1062468
"9","X9_o_.bam.txt","Group1","normal","healthy",0.4431192,-0.2484118,-0.2142663,-0.3137548,-0.2376061,-0.2726917,0.5268111,-0.3059813,0.280303,-0.2888008,-0.3134153,-0.2231477,0.4921165,0.6034318,0.5497026,-0.3107389,0.5043081,-0.2531494,0.4833397,-0.2232808,-0.252127,-0.2576441,0.4704253,0.3575003,-0.3436071,-0.1253233,-0.1160957,-0.183721,-0.1689582,0.03565781,-0.1509958,0.0426695,0.4457007,-0.1029617,0.1417098,0.1203586,-0.2911825,0.2590549,-0.1290433,-0.198444,-0.0912656,0.5967919,-0.2606591,0.002664369,-0.1402835,0.02162781,0.2022917,-0.1103795,0.07466137,-0.02011748,-0.4155686,-0.1100878,-0.7328129,-0.2257626,-0.1081535,-0.05548625,-0.605642,-0.03585954,-0.07414049,-0.04219423,-0.1735811,-0.3451326,-0.2699497,-0.03046893,-0.127152,0.02815486,-0.07809298,-0.2032386,0.0002068107,-0.4053514,-0.3967021,-0.2173768,-0.1623196,-0.08055866,-0.4540303,-0.1732741,0.04692819,-0.2128933,-0.4237931,-0.1871288,-0.1514908,-0.3815282,0.1357348,-0.001075447,-0.3936725,-0.6595784,-0.2098536,-0.1719038,-0.05334635,-0.3289972,-0.5065657,0.3351653,-0.08590523,-0.120846,-0.02063244,-0.2535271,0.350319,-0.1359473,-0.1615821,-0.04197349
"10","X10_o_.bam.txt","Group1","normal","healthy",-0.4570936,0.2842008,0.1794318,0.3806337,0.2810881,0.4538362,-0.5669029,0.4108628,-0.3747835,0.4082454,0.465385,0.340009,-0.5535891,-0.5777131,-0.527915,0.4279695,-0.5369867,0.3410905,-0.5810073,0.3050186,0.4935526,0.2685153,-0.6002803,-0.4943799,0.4677567,0.1229889,0.05843883,-0.1837574,-0.229605,-0.2771021,-0.04547463,0.03632804,-0.2127885,-0.1066701,-0.08204322,0.01294973,0.1689619,-0.08744403,-0.1279742,0.03162193,-0.374277,-0.02919285,-0.1134011,-0.7025755,0.08694719,0.1629128,0.0762961,0.1428394,-0.1491181,-0.1605619,-0.2045824,-0.1473307,-0.14399,-0.1942223,-0.2476165,-0.05449796,-0.3827848,-0.0707575,-0.1557196,-0.03383728,-0.07494975,-0.2490292,-0.04610833,-0.1301151,0.1271333,-0.1249565,-0.1290651,-0.1781826,-0.06505935,-0.137174,-0.2494444,-0.1532119,-0.1879865,-0.07507382,-0.003666026,-0.2523223,0.2113618,-0.5850969,-0.5810219,-0.1513011,-0.1456302,-0.1394429,-0.6078047,-0.1138885,-0.2608534,-0.4107566,-0.4157962,0.01770492,-0.3949661,-0.203262,-0.05080234,-0.1254194,-0.2708752,0.06661538,-0.05230627,-0.4092123,-0.370231,-0.04806629,-0.2367809,0.02132468
